user_name,from_key,to_key,flight_time,dwell_time
vishnu,y,u,118.0,
vishnu,o,o,,148.0
vishnu,u,u,,135.0
vishnu,u, ,3.0,
vishnu, , ,,117.0
vishnu, ,t,184.0,
vishnu, ,o,283.0,
vishnu,t,t,,129.0
vishnu,o,o,,183.0
vishnu,o, ,3.0,
vishnu, , ,,99.0
vishnu, ,t,176.0,
vishnu,t,t,,143.0
vishnu,t,y,210.0,
vishnu,y,y,,107.0
vishnu,y,p,56.0,
vishnu,p,p,,181.0
vishnu,p,e,10.0,
vishnu,p, ,178.0,
vishnu,e,e,,217.0
vishnu, , ,,172.0
vishnu, ,s,349.0,
vishnu,s,s,,77.0
vishnu,s,m,182.0,
vishnu,m,m,,99.0
vishnu,m,o,143.0,
vishnu,o,o,,88.0
vishnu,o,o,81.0,
vishnu,o,o,,104.0
vishnu,o,t,525.0,
vishnu,t,t,,126.0
vishnu,t,h,249.0,
vishnu,h,h,,87.0
vishnu,h,l,97.0,
vishnu,l,l,,178.0
vishnu,l,y,4.0,
vishnu,l, ,160.0,
vishnu,y,y,,201.0
vishnu, , ,,132.0
vishnu, ,w,353.0,
vishnu, ,i,461.0,
vishnu,w,w,,136.0
vishnu,i,i,,138.0
vishnu,i,t,6.0,
vishnu,i,h,93.0,
vishnu,t,t,,129.0
vishnu,t,o,52.0,
vishnu,h,h,,119.0
vishnu,h,u,133.0,
vishnu,o,o,,206.0
vishnu,u,u,,192.0
vishnu,u,t,5.0,
vishnu,t,t,,145.0
vishnu,t, ,299.0,
vishnu, , ,,113.0
vishnu, ,p,147.0,
vishnu, ,a,292.0,
vishnu,p,p,,164.0
vishnu,a,a,,110.0
vishnu,a,u,104.0,
vishnu,u,u,,100.0
vishnu,u,s,22.0,
vishnu,s,s,,119.0
vishnu,s,i,34.0,
vishnu,i,i,,158.0
vishnu,i,n,3.0,
vishnu,i,g,112.0,
vishnu,n,n,,182.0
vishnu,g,g,,137.0
vishnu,g,.,54.0,
vishnu,.,.,,186.0
vishnu,., ,343.0,
vishnu, , ,,77.0
vishnu, ,Shift,155.0,
vishnu, ,T,346.0,
vishnu,T,T,,106.0
vishnu,Shift,Shift,,319.0
vishnu,Shift,r,220.0,
vishnu,r,r,,117.0
vishnu,r,y,17.0,
vishnu,r, ,147.0,
vishnu,y,y,,139.0
vishnu, , ,,111.0
vishnu, ,t,418.0,
vishnu,t,t,,127.0
vishnu,t,a,11.0,
vishnu,a,a,,140.0
vishnu,a,k,5.0,
vishnu,k,k,,152.0
vishnu,k,i,57.0,
vishnu,k,n,151.0,
vishnu,i,i,,116.0
vishnu,i,g,102.0,
vishnu,n,n,,188.0
vishnu,n, ,82.0,
vishnu,g,g,,164.0
vishnu, , ,,107.0
