user_id,user_name,event_time,key,event
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:02.948,Shift,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:03.082,A,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:03.157,Shift,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:03.231,a,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:03.452,s,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:03.592, ,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:03.601,s,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:03.736, ,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:04.238,u,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:04.315,u,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:04.403,r,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:04.508,r,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:04.652,b,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:04.771,b,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:04.880,a,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:05.018,a,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:05.533,n,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:05.630,n,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:05.703,i,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:05.837,i,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:05.943,z,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:06.033,z,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:06.221,a,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:06.338,a,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:06.514,t,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:06.639,t,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:06.708,i,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:06.900,i,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:06.922,o,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:06.965,n,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:07.070,o,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:07.109,n,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:07.198, ,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:07.328, ,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:07.631,c,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:07.774,c,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:07.783,o,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:07.963,o,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:08.034,n,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:08.180,n,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:08.526,t,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:08.656,i,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:08.666,t,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:08.812,i,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:09.437,n,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:09.511,n,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:09.632,u,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:09.730,u,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:09.793,e,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:09.930,s,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:09.963,e,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:10.125,s,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:10.133, ,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:10.275, ,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:10.337,t,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:10.474,o,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:10.519,t,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:10.619,o,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:10.637, ,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:10.774, ,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:11.030,a,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:11.159,a,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:11.294,c,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:11.398,c,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:11.472,c,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:11.566,c,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:11.720,e,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:11.851,e,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:12.241,l,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:12.357,l,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:12.460,e,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:12.603,e,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:12.923,r,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:13.059,r,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:13.071,a,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:13.225,a,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:13.278,t,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:13.386,t,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:13.486,e,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:13.614,e,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:14.086,",",p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:14.199,",",r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:14.278, ,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:14.426, ,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:14.702,s,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:14.821,s,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:14.905,m,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:15.030,m,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:15.037,a,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:15.187,a,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:15.351,r,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:15.468,r,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:15.603,t,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:15.798, ,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:15.830,t,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:15.927, ,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:16.177,c,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:16.315,c,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:16.377,i,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:16.485,i,r
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:16.570,t,p
3a6f5a82-cb94-4e2c-96de-18a5f21bf10b,vishnu vishwas,2024-05-29 12:31:16.688,t,r
